# Wavelength/AA, Flux/AA
5.358402561198710828e+03,9.989028964653484666e-01
5.358452565554491230e+03,9.997975362325539628e-01
5.358502569910270722e+03,9.998745163129963975e-01
5.358552574266051124e+03,9.998304121817556123e-01
5.358602578621831526e+03,9.998643196659753318e-01
5.358652582977611019e+03,9.993830884738418296e-01
5.358702587333391421e+03,9.974166593266269309e-01
5.358752591689171823e+03,9.932790485495761601e-01
5.359402648314313410e+03,9.909151402406208842e-01
5.359452652670092903e+03,9.962193619333797878e-01
5.359502657025873305e+03,9.978252956010071895e-01
5.359552661381653706e+03,9.979984554954580700e-01
5.359602665737433199e+03,9.974676967032516384e-01
5.359652670093213601e+03,9.965483268443394715e-01
5.359702674448994003e+03,9.951578765016473316e-01
5.359752678804773495e+03,9.941533504479250771e-01
5.359802683160553897e+03,9.935633717363920869e-01
5.359852687516334299e+03,9.935836010968284171e-01
5.359902691872114701e+03,9.942209141772362369e-01
5.359952696227894194e+03,9.955520066497816067e-01
5.360002700583674596e+03,9.966806689271352493e-01
5.360052704939454998e+03,9.972622447454773109e-01
5.360102709295234490e+03,9.972243005735732524e-01
5.360152713651014892e+03,9.971456221728937086e-01
5.360202718006795294e+03,9.972204682014165211e-01
5.360252722362574787e+03,9.976533340472086842e-01
5.360302726718355188e+03,9.983258473403210376e-01
5.360352731074135590e+03,9.987511876008783318e-01
5.360402735429915083e+03,9.992918158738186563e-01
5.360452739785695485e+03,9.995363538465463771e-01
5.360502744141475887e+03,9.996416144898290224e-01
5.360552748497256289e+03,9.996646220748051093e-01
5.360602752853035781e+03,9.997231784324875914e-01
5.360652757208816183e+03,9.996787710089130030e-01
5.360702761564596585e+03,9.994068803749311947e-01
5.360752765920376078e+03,9.992301465700605956e-01
5.360802770276156480e+03,9.989917923830167190e-01
5.360852774631936882e+03,9.987295870658081665e-01
5.360902778987716374e+03,9.982536381282340887e-01
5.360952783343496776e+03,9.974623325524207829e-01
5.361002787699277178e+03,9.960512628351334552e-01
5.361052792055056671e+03,9.943489138533683214e-01
5.361102796410837072e+03,9.931507272828696831e-01
5.361152800766617474e+03,9.924420617773948017e-01
5.361202805122396967e+03,9.915394616208745848e-01
5.361952870459099358e+03,9.962659418124981681e-01
5.362002874814879760e+03,9.984722614154419862e-01
5.362052879170659253e+03,9.987481022744542081e-01
5.362102883526439655e+03,9.986077827847705812e-01
5.362152887882220057e+03,9.986341203573119163e-01
5.362202892237999549e+03,9.985700855480232896e-01
5.362252896593779951e+03,9.984371985339638433e-01
5.362302900949560353e+03,9.976735002229377702e-01
5.362352905305339846e+03,9.958457282608861316e-01
5.362402909661120248e+03,9.930463648328219373e-01
5.363252983709382534e+03,9.923221957932266690e-01
5.363302988065162026e+03,9.948098818204458293e-01
5.363352992420942428e+03,9.959610040271325015e-01
5.363402996776722830e+03,9.961603810025697614e-01
5.363453001132503232e+03,9.961382400960780981e-01
5.363503005488282724e+03,9.963552254833826227e-01
5.363553009844063126e+03,9.964379546789183806e-01
5.363603014199843528e+03,9.967106769114846276e-01
5.363653018555623021e+03,9.969110139194639064e-01
5.363703022911403423e+03,9.970903231039425219e-01
5.363753027267183825e+03,9.969468926779493367e-01
5.363803031622963317e+03,9.969949567988433126e-01
5.363853035978743719e+03,9.968062163224755690e-01
5.363903040334524121e+03,9.968853232700840561e-01
5.363953044690303614e+03,9.968576467400376284e-01
5.364003049046084016e+03,9.969164068630479436e-01
5.364053053401864418e+03,9.969951663355104410e-01
5.364103057757644820e+03,9.969170752326022011e-01
5.364153062113424312e+03,9.966813048824290089e-01
5.364203066469204714e+03,9.954615233001313790e-01
5.364253070824985116e+03,9.917500931351531657e-01
5.365753201498388080e+03,9.908999080188768405e-01
5.365803205854168482e+03,9.915207451901071334e-01
5.365853210209948884e+03,9.921189025077905566e-01
5.365903214565728376e+03,9.926076886763346430e-01
5.365953218921508778e+03,9.928880288576286128e-01
5.366003223277289180e+03,9.927617435602901219e-01
5.366053227633068673e+03,9.928055227980168151e-01
5.366103231988849075e+03,9.932209951439840978e-01
5.366153236344629477e+03,9.937823066516888737e-01
5.366203240700409879e+03,9.941415260055803671e-01
5.366253245056189371e+03,9.946085920357210508e-01
5.366303249411969773e+03,9.951404870630005117e-01
5.366353253767750175e+03,9.954496637760079647e-01
5.366403258123529668e+03,9.934173366329471788e-01
5.366903301681330959e+03,9.900269092455031839e-01
5.366953306037111361e+03,9.900438870511716338e-01
5.368103406220054239e+03,9.901455052113192767e-01
5.368153410575833732e+03,9.924520122349790308e-01
5.368203414931614134e+03,9.939018564385266874e-01
5.368253419287394536e+03,9.944124379893068966e-01
5.368303423643174938e+03,9.934948372238966430e-01
